year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status
rovisional
2020-06,2021-09,Long-term migrant,Departures,Male,30-34 years,175,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,35-39 years,88,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,35-39 years,90,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,40-44 years,43,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,40-44 years,60,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,45-49 years,42,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,45-49 years,31,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,5-9 years,33,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,5-9 years,49,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,50-54 years,35,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,50-54 years,35,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,55-59 years,30,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,55-59 years,23,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,60-64 years,31,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,60-64 years,25,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,65-69 years,20,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,65-69 years,15,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,70-74 years,11,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,70-74 years,11,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,75-79 years,1,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,75-79 years,8,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,80-84 years,1,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,0-4 years,59,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,0-4 years,46,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,10-14 years,11,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,10-14 years,30,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,15-19 years,-1,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,15-19 years,20,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,20-24 years,-23,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,20-24 years,-48,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,25-29 years,-6,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,25-29 years,-101,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,30-34 years,-48,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,30-34 years,-51,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,35-39 years,21,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,35-39 years,19,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,40-44 years,43,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,40-44 years,16,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,45-49 years,19,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,45-49 years,31,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,5-9 years,48,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,5-9 years,30,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,50-54 years,11,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,50-54 years,19,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,55-59 years,43,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,55-59 years,26,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,60-64 years,35,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,60-64 years,37,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,65-69 years,25,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,65-69 years,36,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,70-74 years,12,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,70-74 years,9,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,75-79 years,6,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,75-79 years,3,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,80-84 years,1,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,80-84 years,4,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,0-4 years,217,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,10-14 years,114,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,15-19 years,100,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,20-24 years,215,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,25-29 years,376,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,30-34 years,252,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,35-39 years,218,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,40-44 years,162,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,45-49 years,123,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,5-9 years,160,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,50-54 years,100,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,55-59 years,122,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,60-64 years,128,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,65-69 years,96,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,70-74 years,43,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,75-79 years,18,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,80-84 years,6,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,85-89 years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,0-4 years,112,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,10-14 years,73,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,15-19 years,81,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,20-24 years,286,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,25-29 years,483,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,30-34 years,351,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,35-39 years,178,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,40-44 years,103,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,45-49 years,73,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,5-9 years,82,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,50-54 years,70,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,55-59 years,53,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,60-64 years,56,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,65-69 years,35,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,70-74 years,22,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,75-79 years,9,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,80-84 years,1,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,85-89 years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,0-4 years,105,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,10-14 years,41,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,15-19 years,19,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,20-24 years,-71,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,25-29 years,-107,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,30-34 years,-99,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,35-39 years,40,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,40-44 years,59,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,45-49 years,50,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,5-9 years,78,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,50-54 years,30,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,55-59 years,69,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,60-64 years,72,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,65-69 years,61,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,70-74 years,21,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,75-79 years,9,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,80-84 years,5,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,85-89 years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,90+ years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,90+ years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,90+ years,0,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,Female,TOTAL,1274,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,Male,TOTAL,1176,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Female,TOTAL,1018,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,Male,TOTAL,1050,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Female,TOTAL,256,0,Provisional
2020-06,2021-09,Long-term migrant,Net,Male,TOTAL,126,0,Provisional
2020-06,2021-09,Long-term migrant,Arrivals,TOTAL,TOTAL,2450,0,Provisional
2020-06,2021-09,Long-term migrant,Departures,TOTAL,TOTAL,2068,0,Provisional
2020-06,2021-09,Long-term migrant,Net,TOTAL,TOTAL,382,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,0-4 years,131,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,0-4 years,167,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,10-14 years,91,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,10-14 years,100,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,15-19 years,97,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,15-19 years,97,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,20-24 years,157,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,20-24 years,150,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,25-29 years,292,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,25-29 years,247,1,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,30-34 years,238,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,30-34 years,214,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,35-39 years,168,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,35-39 years,155,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,40-44 years,119,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,40-44 years,116,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Female,45-49 years,119,0,Provisional
2020-07,2021-09,Long-term migrant,Arrivals,Male,45-49 years,113,0,Provisional
